num,stage,content
1,catherb,새롭게 문을 열었구만. 반갑네.
2,catherb,"흠..처음이라 하니, 몇가지 주의할 점을 알려주겠네."
3,catherb,"여기 약초꾼들은 사기꾼들이 많아. 항상 약초가 진짜인지, 가짜인지 잘 확인하고 계약을 해야 하지."
4,catherb,"만약에 다른 약초꾼과 계약했음에도, 다른 사람과 재계약 한다면 값을 올려받을테니 조심하게."
5,catherb,지금은 고양이풀이 철이야.
6,catherb,고양이풀은 애완동물과 깊은 대화를 나눌 수 있는 약물을 만들 수 있게 하지.
7,catherb,음? 어떻게 진짜 가짜를 구분하냐고?
8,catherb,아마 전임자가 준 약초 노트에 잘 써져 있을게야. 그걸 참고해.
9,catherb,무운을 비네!
10,minaeri,안녕하신가!
11,minaeri,오랜만이네. 가게가 잘 운영되고 있는 것 같은데..
12,minaeri,"아, 내가 온 이유는.. 이번에 서대륙과의 무역을 활성화한다는 정부 소식이 있었어."
13,minaeri,자네같은 촌뜨기는 모를 귀한 소식이지.
14,minaeri,"그 덕분에, ""미내리"" 라는 약초가 이제 거래된다구. 수도에서는 이미 거래된지 한참이야!"
15,minaeri,미내리로 또 다른 약물을 만들 수 있을거야. 잘 해보라고! 약초 노트도 꼭 좀 잘 보고.
16,floating mushroom,주인장! 또 보네!
17,floating mushroom,굉장히 엄청난 놀라운 대박 소식이여! 
18,floating mushroom,여기 뒷산에서 약초꾼들이 둥둥버섯 자생지를 발견했다더네!
19,floating mushroom,응? 둥둥버섯을 몰라?
20,floating mushroom,참…뭐어… 약초 노트나 잘 보고… 잘 해보게나… 
21,floating mushroom,쯧쯧…이정도로 무식해서야…떼잉!